Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,N,Mean,Error,StdDev,Median,P0,P25,P50,P67,P80,P85,P90,P95,P100,Ratio,RatioSD,Rank,Gen 0/1k Op,Gen 1/1k Op,Gen 2/1k Op,Allocated Memory/Op
EmptyClass,Core,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,9.5816 ns,0.1574 ns,0.1472 ns,9.5987 ns,9.3794 ns,9.4522 ns,9.5987 ns,9.6163 ns,9.7167 ns,9.7723 ns,9.7945 ns,9.8118 ns,9.8297 ns,1.014,0.04,2,-,-,-,-
EmptyDisposableStruct,Core,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,9.3415 ns,0.2637 ns,0.3335 ns,9.3470 ns,8.8969 ns,9.0811 ns,9.3470 ns,9.5148 ns,9.6012 ns,9.6130 ns,9.6318 ns,9.6465 ns,10.3412 ns,1.000,0.00,2,0.0076,-,-,24 B
EmptyStruct,Core,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,0.0406 ns,0.0256 ns,0.0333 ns,0.0356 ns,0.0000 ns,0.0170 ns,0.0356 ns,0.0572 ns,0.0664 ns,0.0691 ns,0.0821 ns,0.1004 ns,0.1101 ns,0.004,0.00,1,-,-,-,-
EmptyClass,Core,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,9.7331 ns,0.0646 ns,0.0573 ns,9.7470 ns,9.6131 ns,9.7017 ns,9.7470 ns,9.7616 ns,9.7755 ns,9.7860 ns,9.7954 ns,9.8003 ns,9.8016 ns,0.978,0.03,2,-,-,-,-
EmptyDisposableStruct,Core,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,9.5332 ns,0.2249 ns,0.4386 ns,9.4882 ns,8.9186 ns,9.1290 ns,9.4882 ns,9.7387 ns,9.9315 ns,10.0493 ns,10.2243 ns,10.3153 ns,10.3637 ns,1.000,0.00,2,0.0076,-,-,24 B
EmptyStruct,Core,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,0.0024 ns,0.0051 ns,0.0047 ns,0.0000 ns,0.0000 ns,0.0000 ns,0.0000 ns,0.0000 ns,0.0040 ns,0.0058 ns,0.0100 ns,0.0130 ns,0.0138 ns,0.000,0.00,1,-,-,-,-
